seed,hsv_h,hsv_s,hsv_v,translate,scale,fliplr,mosaic,mixup,erasing,fix_norm_bug,score_k,score_c,score_e
0,1,1,1,1,1,1,1,0,0,0,0.449,,
0,1,1,1,1,1,0,0,1,1,0,0.587,,
0,1,1,1,0,0,1,1,1,1,0,0.532,,
0,1,1,1,1,1,1,1,1,1,0,0.525,,
0,0,0,0,1,1,1,1,1,1,0,0.623,,
0,0,0,0,0,0,0,0,0,0,0,0.084,,
0,1,0,0,0,1,1,1,1,1,0,0.541,0.872,0.385
1,1,1,0,1,0,0,1,0,1,0,0.455,0.846,0.264
2,0,0,1,0,1,1,0,0,0,0,0.403,0.885,0.434
3,0,0,1,1,0,0,0,0,1,0,0.498,0.866,
4,1,1,1,0,1,0,1,0,1,0,0.422,0.864,
5,1,1,1,0,0,0,0,0,0,0,0.14,0.618,0.045
6,1,0,0,0,1,1,1,0,1,0,0.492,0.829,0.301
7,1,1,1,0,0,1,0,1,1,0,0.506,0.712,0.455
8,0,1,0,1,1,0,0,0,0,0,0.425,0.774,0.406
9,1,0,1,1,1,1,1,1,0,0,0.587,0.857,0.374
10,1,0,1,0,1,0,1,1,0,0,0.518,,
11,0,0,1,0,0,1,0,0,1,0,0.391,,
12,0,1,0,0,0,0,1,0,1,0,0.346,,
13,1,1,1,0,0,1,1,0,1,0,0.435,,
14,1,0,1,1,1,1,1,1,0,0,0.542,,
15,1,1,0,0,1,0,1,0,0,0,0.339,,
16,1,0,0,0,1,0,1,1,0,0,0.505,,
